#Number of Records in Grid: 327
#Number of Samples in Grid: 327
#Grid Interval in Scan Direction: 32
#Grid Interval in Pix Direction: 32
#  Latitude  Longitude Slant Range Incidence_Angle
 22.005834  69.614235 -9999.000000 -9999.000000
 22.005813  69.619811 -9999.000000 -9999.000000
 22.005792  69.625391 -9999.000000 -9999.000000
 22.005770  69.630971 -9999.000000 -9999.000000
 22.005749  69.636550 -9999.000000 -9999.000000
 22.005727  69.642130 -9999.000000 -9999.000000
 22.005705  69.647710 -9999.000000 -9999.000000
 22.005683  69.653289 -9999.000000 -9999.000000
 22.005660  69.658869 -9999.000000 -9999.000000
 22.005638  69.664448 -9999.000000 -9999.000000
 22.005615  69.670028 -9999.000000 -9999.000000
 22.005592  69.675607 -9999.000000 -9999.000000
 22.005569  69.681187 -9999.000000 -9999.000000
 22.005546  69.686767 -9999.000000 -9999.000000
 22.005522  69.692346 -9999.000000 -9999.000000
 22.005499  69.697926 -9999.000000 -9999.000000
 22.005475  69.703505 -9999.000000 -9999.000000
 22.005451  69.709085 -9999.000000 -9999.000000
 22.005427  69.714664 -9999.000000 -9999.000000
 22.005402  69.720244 -9999.000000 -9999.000000
 22.005378  69.725823 -9999.000000 -9999.000000
 22.005353  69.731403 -9999.000000 -9999.000000
 22.005328  69.736982 -9999.000000 -9999.000000
 22.005303  69.742562 -9999.000000 -9999.000000
 22.005277  69.748141 -9999.000000 -9999.000000
 22.005252  69.753721 -9999.000000 -9999.000000
 22.005226  69.759300 -9999.000000 -9999.000000
 22.005200  69.764879 -9999.000000 -9999.000000
 22.005174  69.770459 -9999.000000 -9999.000000
 22.005148  69.776038 -9999.000000 -9999.000000
 22.005121  69.781618 -9999.000000 -9999.000000
 22.005095  69.787197 -9999.000000 -9999.000000
 22.005068  69.792777 -9999.000000 -9999.000000
 22.005041  69.798356 -9999.000000 -9999.000000
 22.005013  69.803935 -9999.000000 -9999.000000
 22.004986  69.809515 -9999.000000 -9999.000000
 22.004958  69.815094 -9999.000000 -9999.000000
 22.004931  69.820673 -9999.000000 -9999.000000
 22.004902  69.826253 -9999.000000 -9999.000000
 22.004874  69.831832 -9999.000000 -9999.000000
 22.004846  69.837411 -9999.000000 -9999.000000
 22.004817  69.842991 -9999.000000 -9999.000000
 22.004789  69.848570 -9999.000000 -9999.000000
 22.004760  69.854149 -9999.000000 -9999.000000
 22.004730  69.859729 -9999.000000 -9999.000000
 22.004701  69.865308 -9999.000000 -9999.000000
 22.004672  69.870887 -9999.000000 -9999.000000
 22.004642  69.876466 -9999.000000 -9999.000000
 22.004612  69.882046 -9999.000000 -9999.000000
 22.004582  69.887625 -9999.000000 -9999.000000
 22.004552  69.893204 -9999.000000 -9999.000000
 22.004521  69.898783 -9999.000000 -9999.000000
 22.004490  69.904363 -9999.000000 -9999.000000
 22.004459  69.909942 -9999.000000 -9999.000000
 22.004428  69.915521 -9999.000000 -9999.000000
 22.004397  69.921100 -9999.000000 -9999.000000
 22.004366  69.926679 -9999.000000 -9999.000000
 22.004334  69.932258 -9999.000000 -9999.000000
 22.004302  69.937838 -9999.000000 -9999.000000
 22.004270  69.943417 -9999.000000 -9999.000000
 22.004238  69.948996 -9999.000000 -9999.000000
 22.004206  69.954575 -9999.000000 -9999.000000
 22.004173  69.960154 -9999.000000 -9999.000000
 22.004140  69.965733 -9999.000000 -9999.000000
 22.004107  69.971312 -9999.000000 -9999.000000
 22.004074  69.976891 -9999.000000 -9999.000000
 22.004041  69.982471 -9999.000000 -9999.000000
 22.004008  69.988050 -9999.000000 -9999.000000
 22.003974  69.993629 -9999.000000 -9999.000000
 22.003940  69.999208 -9999.000000 -9999.000000
 22.003906  70.004787 -9999.000000 -9999.000000
 22.003872  70.010366 -9999.000000 -9999.000000
 22.003837  70.015945 -9999.000000 -9999.000000
 22.003802  70.021524 -9999.000000 -9999.000000
 22.003768  70.027103 -9999.000000 -9999.000000
 22.003733  70.032682 -9999.000000 -9999.000000
 22.003697  70.038261 -9999.000000 -9999.000000
 22.003662  70.043840 -9999.000000 -9999.000000
 22.003626  70.049419 -9999.000000 -9999.000000
 22.003591  70.054997 -9999.000000 -9999.000000
 22.003555  70.060576 -9999.000000 -9999.000000
 22.003518  70.066155 -9999.000000 -9999.000000
 22.003482  70.071734 -9999.000000 -9999.000000
 22.003445  70.077313 -9999.000000 -9999.000000
 22.003409  70.082892 -9999.000000 -9999.000000
 22.003372  70.088471 -9999.000000 -9999.000000
 22.003335  70.094050 -9999.000000 -9999.000000
 22.003297  70.099628 -9999.000000 -9999.000000
 22.003260  70.105207 -9999.000000 -9999.000000
 22.003222  70.110786 -9999.000000 -9999.000000
 22.003184  70.116365 -9999.000000 -9999.000000
 22.003146  70.121944 -9999.000000 -9999.000000
 22.003108  70.127522 -9999.000000 -9999.000000
 22.003070  70.133101 -9999.000000 -9999.000000
 22.003031  70.138680 -9999.000000 -9999.000000
 22.002992  70.144259 -9999.000000 -9999.000000
 22.002953  70.149837 -9999.000000 -9999.000000
 22.002914  70.155416 -9999.000000 -9999.000000
 22.002874  70.160995 -9999.000000 -9999.000000
 22.002835  70.166573 -9999.000000 -9999.000000
 22.002795  70.172152 -9999.000000 -9999.000000
 22.002755  70.177731 -9999.000000 -9999.000000
 22.002715  70.183309 -9999.000000 -9999.000000
 22.002675  70.188888 -9999.000000 -9999.000000
 22.002634  70.194467 -9999.000000 -9999.000000
 22.002593  70.200045 -9999.000000 -9999.000000
 22.002552  70.205624 -9999.000000 -9999.000000
 22.002511  70.211203 -9999.000000 -9999.000000
 22.002470  70.216781 -9999.000000 -9999.000000
 22.002429  70.222360 -9999.000000 -9999.000000
 22.002387  70.227938 -9999.000000 -9999.000000
 22.002345  70.233517 -9999.000000 -9999.000000
 22.002303  70.239095 -9999.000000 -9999.000000
